,AD
0,225009 江苏省扬州市大学南路88号
1,430074 湖北省武汉市洪山区鲁磨路388号
2,315800 浙江省宁波市北仑区新大路1069号
3,214174 江苏省无锡市惠山经济开发区堰新路311号1号楼1001室
4,110159 辽宁省沈阳市浑南新区南屏中路6号
5,315800 浙江省宁波市北仑区新大路1069号
6,271000 山东省泰安市高新技术开发区
7,510640 广东省广州市天河区五山路381号
8,210096 江苏省南京市四牌楼2号
9,德国路德维希港
10,315800 浙江省宁波市北仑区新大路1069号
11,215000 江苏省苏州市工业园区星湖街218号生物纳米园A4楼112室
12,201109 上海市闵行区北松路800号
13,100095 北京市海淀区温泉镇环山村
14,150001 黑龙江省哈尔滨市南岗区西大直街92号
15,518000 广东省深圳市福田区上步中路1003号科学馆三楼
16,100095 北京市海淀区温泉镇环山村
17,100095 北京市海淀区温泉镇环山村
18,310014 浙江省杭州市下城区潮王路18号浙江工业大学
19,210094 江苏省南京市孝陵卫200号
20,100083 北京市海淀区学院路29号
21,200050 上海市长宁区长宁路865号
22,243002 安徽省马鞍山市花山区湖东路59号
23,518131 广东省深圳市龙华新区民治街道绿景香颂B2栋15层
24,韩国庆尚南道昌原市
25,韩国庆尚南道昌原市
26,215100 江苏省苏州市吴中区木渎镇珠江南路378号天隆大楼6727室苏州卓伟企业管理咨询有限公司
27,300387 天津市西青区宾水西道399号
28,214192 江苏省无锡市锡山经济开发区科技创业园(芙蓉中三路99号)瑞云六座
29,201203 上海市浦东新区张江居里路1号
30,251200 山东省济南市历城区临港开发区凤鸣路1000号
31,215100 江苏省苏州市吴中区木渎镇珠江南路378号天隆大楼6727室苏州卓伟企业管理咨询有限公司
32,518129 广东省深圳市龙岗区坂田华为总部办公楼
33,315000 浙江省宁波市慈溪慈东滨海区天叙璐1号
34,100083 北京市朝阳区北沙滩1号院
35,100083 北京市海淀区学院路37号
36,116023 辽宁省大连市中山路457号
37,315211 浙江省宁波市镇海区宁镇西路201号
38,523000 广东省东莞市常平镇南埔科技创新中心B栋三层
39,100044 北京市海淀区西直门外上园村3号
40,311321 浙江省杭州市临安市昌化镇昌化大道无门牌26号1幢101
41,610065 四川省成都市武侯区一环路南一段24号
42,315800 浙江省宁波市北仑区新大路1069号
43,313106 浙江省湖州市长兴县洪桥镇陈桥村
44,100871 北京市海淀区颐和园路5号
45,100013 北京市朝阳区北三环东路18号
46,313100 浙江省湖州市长兴小浦镇小浦村场
47,213161 江苏省常州市武进区西太湖科技产业园祥云路6号
48,518055 广东省深圳市南山区留仙大道1183号南山云谷3栋7楼A5
49,213161 江苏省常州市武进区西太湖科技产业园祥云路6号
50,100083 北京市朝阳区北沙滩1号院
51,570228 海南省海口市美兰区人民大道58号
52,266071 山东省青岛市市南区宁夏路308号
53,266111 山东省青岛市高新区松园路17号青岛市工业技术研究院C区C1楼4层
54,325000 浙江省温州市鹿城区工业园昆仑路72号B幢202
55,244000 安徽省铜陵市经济技术开发区翠湖四路西段5105号
56,244000 安徽省铜陵市经济技术开发区翠湖四路西段5105号
57,315800 浙江省宁波市北仑区新大路1069号
58,150080 黑龙江省哈尔滨市南岗区学府路74号
59,150080 黑龙江省哈尔滨市黑龙江哈尔滨市南岗区学府路74号
60,230026 安徽省合肥市包河区金寨路96号
61,230001 安徽省合肥市新站工业园D区
62,233000 安徽省蚌埠市高新区华光大道高新区创业服务中心402室
63,272000 山东省济宁市国家高新技术产业开发区崇文大道产学研基地A5楼B座4层
64,315311 浙江省慈溪市龙山工业区龙镇大道306号
65,213100 江苏省常州市武进区武进经济开发区西太湖大道9号
66,213100 江苏省常州市武进区武进经济开发区西太湖大道9号
67,611535 四川省成都市邛崃市羊安镇仁和大道五号
68,315800 浙江省宁波市北仑区新大路1069号
69,100081 北京市海淀区中关村南大街5号北京理工大学
70,315800 浙江省宁波市北仑区新大路1069号
71,100007 北京市东城区藏经馆胡同17号1ﾗﾝ1960室
72,美国特拉华州
73,130012 吉林省长春市前进大街2699号
74,310027 浙江省杭州市西湖区浙大路38号
75,230031 安徽省合肥市蜀山区蜀山湖路350号
76,611731 四川省成都市高新区(西区)西源大道2006号
77,200050 上海市长宁区长宁路865号
78,100095 北京市海淀区温泉镇环山村
79,100095 北京市海淀区温泉镇环山村
80,100095 北京市海淀区温泉镇环山村
81,100095 北京市海淀区温泉镇环山村
82,100095 北京市海淀区温泉镇环山村
83,100095 北京市海淀区温泉镇环山村
